Sentence,Error Type,Corrected Sentence
அவள் பள்ளிக்கு சாப்பிடுகிறான்.,No Error,அவள் பள்ளிக்கு சாப்பிடுகிறான்.
பார்வதி பந்து செல்வேன்.,No Error,பார்வதி பந்து செல்வேன்.
பார்வதி பழத்தை செல்வேன்.,No Error,பார்வதி பழத்தை செல்வேன்.
பார்வதி பாடத்தை செல்வேன்.,No Error,பார்வதி பாடத்தை செல்வேன்.
நான் பாடத்தை விளையாடுகிறோம்.,No Error,நான் பாடத்தை விளையாடுகிறோம்.
பார்வதி பாடத்தை படிக்கிறாள்.,No Error,பார்வதி பாடத்தை படிக்கிறாள்.
பார்வதி பள்ளிக்கு படிக்கிறான்.,No Error,பார்வதி பள்ளிக்கு படிக்கிறான்.
அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.,No Error,அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.
நாம் பள்ளிக்கு படிக்கிறான்.,No Error,நாம் பள்ளிக்கு படிக்கிறான்.
பார்வதி பந்து செல்வேன்.,No Error,பார்வதி பந்து செல்வேன்.
நான் பந்து சாப்பிடுகிறான்.,No Error,நான் பந்து சாப்பிடுகிறான்.
பார்வதி பழத்தை செல்வேன்.,No Error,பார்வதி பழத்தை செல்வேன்.
நாம் பழத்தை விளையாடுகிறோம்.,No Error,நாம் பழத்தை விளையாடுகிறோம்.
அவன் பழத்தை செல்வேன்.,No Error,அவன் பழத்தை செல்வேன்.
அவர்கள் புத்தகத்தை செல்வேன்.,No Error,அவர்கள் புத்தகத்தை செல்வேன்.
அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.,No Error,அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.
நாம் பழத்தை சாப்பிடுகிறான்.,No Error,நாம் பழத்தை சாப்பிடுகிறான்.
நாம் பாடத்தை விளையாடுகிறோம்.,No Error,நாம் பாடத்தை விளையாடுகிறோம்.
அவர்கள் பள்ளிக்கு படிக்கிறான்.,No Error,அவர்கள் பள்ளிக்கு படிக்கிறான்.
பார்வதி பந்து விளையாடுகிறோம்.,No Error,பார்வதி பந்து விளையாடுகிறோம்.
நான் பாடத்தை விளையாடுகிறோம்.,No Error,நான் பாடத்தை விளையாடுகிறோம்.
நான் பாடத்தை செல்வேன்.,No Error,நான் பாடத்தை செல்வேன்.
அவர்கள் பழத்தை செல்வேன்.,No Error,அவர்கள் பழத்தை செல்வேன்.
அவள் வீட்டில் செல்வேன்.,No Error,அவள் வீட்டில் செல்வேன்.
அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.,No Error,அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.
நான் வீட்டில் செல்வேன்.,No Error,நான் வீட்டில் செல்வேன்.
நான் பந்து செல்வேன்.,No Error,நான் பந்து செல்வேன்.
அவள் புத்தகத்தை படிக்கிறாள்.,No Error,அவள் புத்தகத்தை படிக்கிறாள்.
அவன் வீட்டில் படிக்கிறான்.,No Error,அவன் வீட்டில் படிக்கிறான்.
அவள் பழத்தை செல்வேன்.,No Error,அவள் பழத்தை செல்வேன்.
பார்வதி வீட்டில் சாப்பிடுகிறான்.,No Error,பார்வதி வீட்டில் சாப்பிடுகிறான்.
நான் வீட்டில் செல்வேன்.,No Error,நான் வீட்டில் செல்வேன்.
அவள் புத்தகத்தை செல்வேன்.,No Error,அவள் புத்தகத்தை செல்வேன்.
அவன் பழத்தை சாப்பிடுகிறான்.,No Error,அவன் பழத்தை சாப்பிடுகிறான்.
பார்வதி புத்தகத்தை படிக்கிறாள்.,No Error,பார்வதி புத்தகத்தை படிக்கிறாள்.
பார்வதி பந்து படிக்கிறான்.,No Error,பார்வதி பந்து படிக்கிறான்.
அவன் பழத்தை செல்வேன்.,No Error,அவன் பழத்தை செல்வேன்.
பார்வதி பழத்தை படிக்கிறாள்.,No Error,பார்வதி பழத்தை படிக்கிறாள்.
பார்வதி பழத்தை படிக்கிறான்.,No Error,பார்வதி பழத்தை படிக்கிறான்.
அவர்கள் பந்து விளையாடுகிறோம்.,No Error,அவர்கள் பந்து விளையாடுகிறோம்.
நாம் பாடத்தை சாப்பிடுகிறான்.,No Error,நாம் பாடத்தை சாப்பிடுகிறான்.
அவள் பாடத்தை செல்வேன்.,No Error,அவள் பாடத்தை செல்வேன்.
பார்வதி பந்து படிக்கிறாள்.,No Error,பார்வதி பந்து படிக்கிறாள்.
நான் பந்து செல்வேன்.,No Error,நான் பந்து செல்வேன்.
நான் பள்ளிக்கு செல்வேன்.,No Error,நான் பள்ளிக்கு செல்வேன்.
அவள் பழத்தை விளையாடுகிறோம்.,No Error,அவள் பழத்தை விளையாடுகிறோம்.
அவர்கள் பாடத்தை செல்வேன்.,No Error,அவர்கள் பாடத்தை செல்வேன்.
அவர்கள் பழத்தை படிக்கிறான்.,No Error,அவர்கள் பழத்தை படிக்கிறான்.
நாம் பந்து செல்வேன்.,No Error,நாம் பந்து செல்வேன்.
நான் பள்ளிக்கு விளையாடுகிறோம்.,No Error,நான் பள்ளிக்கு விளையாடுகிறோம்.
நாம் பழத்தை படிக்கிறான்.,No Error,நாம் பழத்தை படிக்கிறான்.
அவள் வீட்டில் செல்வேன்.,No Error,அவள் வீட்டில் செல்வேன்.
அவர்கள் பள்ளிக்கு செல்வேன்.,No Error,அவர்கள் பள்ளிக்கு செல்வேன்.
அவள் புத்தகத்தை விளையாடுகிறோம்.,No Error,அவள் புத்தகத்தை விளையாடுகிறோம்.
நான் வீட்டில் விளையாடுகிறோம்.,No Error,நான் வீட்டில் விளையாடுகிறோம்.
அவர்கள் பள்ளிக்கு படிக்கிறாள்.,No Error,அவர்கள் பள்ளிக்கு படிக்கிறாள்.
அவர்கள் பந்து செல்வேன்.,No Error,அவர்கள் பந்து செல்வேன்.
அவன் வீட்டில் படிக்கிறான்.,No Error,அவன் வீட்டில் படிக்கிறான்.
அவள் பாடத்தை படிக்கிறாள்.,No Error,அவள் பாடத்தை படிக்கிறாள்.
பார்வதி புத்தகத்தை படிக்கிறாள்.,No Error,பார்வதி புத்தகத்தை படிக்கிறாள்.
நாம் பந்து படிக்கிறாள்.,No Error,நாம் பந்து படிக்கிறாள்.
நான் பாடத்தை செல்வேன்.,No Error,நான் பாடத்தை செல்வேன்.
பார்வதி பள்ளிக்கு படிக்கிறாள்.,No Error,பார்வதி பள்ளிக்கு படிக்கிறாள்.
அவர்கள் புத்தகத்தை படிக்கிறாள்.,No Error,அவர்கள் புத்தகத்தை படிக்கிறாள்.
பார்வதி பழத்தை சாப்பிடுகிறான்.,No Error,பார்வதி பழத்தை சாப்பிடுகிறான்.
அவன் பள்ளிக்கு விளையாடுகிறோம்.,No Error,அவன் பள்ளிக்கு விளையாடுகிறோம்.
பார்வதி பள்ளிக்கு படிக்கிறாள்.,No Error,பார்வதி பள்ளிக்கு படிக்கிறாள்.
அவள் புத்தகத்தை படிக்கிறாள்.,No Error,அவள் புத்தகத்தை படிக்கிறாள்.
அவன் பந்து படிக்கிறான்.,No Error,அவன் பந்து படிக்கிறான்.
நாம் புத்தகத்தை விளையாடுகிறோம்.,No Error,நாம் புத்தகத்தை விளையாடுகிறோம்.
பார்வதி பழத்தை சாப்பிடுகிறான்.,No Error,பார்வதி பழத்தை சாப்பிடுகிறான்.
அவள் வீட்டில் சாப்பிடுகிறான்.,No Error,அவள் வீட்டில் சாப்பிடுகிறான்.
நாம் பள்ளிக்கு படிக்கிறாள்.,No Error,நாம் பள்ளிக்கு படிக்கிறாள்.
அவன் பந்து படிக்கிறாள்.,No Error,அவன் பந்து படிக்கிறாள்.
பார்வதி பாடத்தை சாப்பிடுகிறான்.,No Error,பார்வதி பாடத்தை சாப்பிடுகிறான்.
அவர்கள் வீட்டில் செல்வேன்.,No Error,அவர்கள் வீட்டில் செல்வேன்.
நாம் பழத்தை செல்வேன்.,No Error,நாம் பழத்தை செல்வேன்.
பார்வதி பாடத்தை விளையாடுகிறோம்.,No Error,பார்வதி பாடத்தை விளையாடுகிறோம்.
அவள் பள்ளிக்கு படிக்கிறான்.,No Error,அவள் பள்ளிக்கு படிக்கிறான்.
பார்வதி பந்து விளையாடுகிறோம்.,No Error,பார்வதி பந்து விளையாடுகிறோம்.
நாம் புத்தகத்தை படிக்கிறான்.,No Error,நாம் புத்தகத்தை படிக்கிறான்.
அவள் பழத்தை சாப்பிடுகிறான்.,No Error,அவள் பழத்தை சாப்பிடுகிறான்.
நாம் பாடத்தை படிக்கிறாள்.,No Error,நாம் பாடத்தை படிக்கிறாள்.
அவன் பந்து சாப்பிடுகிறான்.,No Error,அவன் பந்து சாப்பிடுகிறான்.
நான் பழத்தை விளையாடுகிறோம்.,No Error,நான் பழத்தை விளையாடுகிறோம்.
அவள் புத்தகத்தை படிக்கிறான்.,No Error,அவள் புத்தகத்தை படிக்கிறான்.
நான் பாடத்தை செல்வேன்.,No Error,நான் பாடத்தை செல்வேன்.
நான் பாடத்தை செல்வேன்.,No Error,நான் பாடத்தை செல்வேன்.
அவள் பந்து படிக்கிறாள்.,No Error,அவள் பந்து படிக்கிறாள்.
பார்வதி புத்தகத்தை படிக்கிறான்.,No Error,பார்வதி புத்தகத்தை படிக்கிறான்.
அவன் பள்ளிக்கு சாப்பிடுகிறான்.,No Error,அவன் பள்ளிக்கு சாப்பிடுகிறான்.
பார்வதி பழத்தை படிக்கிறாள்.,No Error,பார்வதி பழத்தை படிக்கிறாள்.
பார்வதி புத்தகத்தை சாப்பிடுகிறான்.,No Error,பார்வதி புத்தகத்தை சாப்பிடுகிறான்.
அவன் வீட்டில் விளையாடுகிறோம்.,No Error,அவன் வீட்டில் விளையாடுகிறோம்.
நாம் பள்ளிக்கு படிக்கிறான்.,No Error,நாம் பள்ளிக்கு படிக்கிறான்.
அவள் பள்ளிக்கு படிக்கிறான்.,No Error,அவள் பள்ளிக்கு படிக்கிறான்.
அவர்கள் வீட்டில் படிக்கிறான்.,No Error,அவர்கள் வீட்டில் படிக்கிறான்.
பார்வதி புத்தகத்தை படிக்கிறாள்.,No Error,பார்வதி புத்தகத்தை படிக்கிறாள்.
அவர்கள் புத்தகத்தை படிக்கிறாள்.,No Error,அவர்கள் புத்தகத்தை படிக்கிறாள்.
அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.,No Error,அவர்கள் பள்ளிக்கு விளையாடுகிறோம்.
அவள் வீட்டில் படிக்கிறாள்.,No Error,அவள் வீட்டில் படிக்கிறாள்.
நாம் வீட்டில் படிக்கிறாள்.,No Error,நாம் வீட்டில் படிக்கிறாள்.
நாம் பாடத்தை படிக்கிறான்.,No Error,நாம் பாடத்தை படிக்கிறான்.
அவள் பாடத்தை செல்வேன்.,No Error,அவள் பாடத்தை செல்வேன்.
அவன் பாடத்தை படிக்கிறான்.,No Error,அவன் பாடத்தை படிக்கிறான்.
அவள் பழத்தை விளையாடுகிறோம்.,No Error,அவள் பழத்தை விளையாடுகிறோம்.
பார்வதி பழத்தை படிக்கிறான்.,No Error,பார்வதி பழத்தை படிக்கிறான்.
அவன் பந்து படிக்கிறான்.,No Error,அவன் பந்து படிக்கிறான்.
அவன் பாடத்தை செல்வேன்.,No Error,அவன் பாடத்தை செல்வேன்.
அவள் வீட்டில் படிக்கிறாள்.,No Error,அவள் வீட்டில் படிக்கிறாள்.
பார்வதி பாடத்தை படிக்கிறான்.,No Error,பார்வதி பாடத்தை படிக்கிறான்.
அவள் பாடத்தை படிக்கிறான்.,No Error,அவள் பாடத்தை படிக்கிறான்.
நாம் புத்தகத்தை படிக்கிறான்.,No Error,நாம் புத்தகத்தை படிக்கிறான்.
அவள் வீட்டில் விளையாடுகிறோம்.,No Error,அவள் வீட்டில் விளையாடுகிறோம்.
நாம் பாடத்தை படிக்கிறான்.,No Error,நாம் பாடத்தை படிக்கிறான்.
பார்வதி பள்ளிக்கு விளையாடுகிறோம்.,No Error,பார்வதி பள்ளிக்கு விளையாடுகிறோம்.
அவன் பழத்தை படிக்கிறான்.,No Error,அவன் பழத்தை படிக்கிறான்.
நாம் பாடத்தை படிக்கிறாள்.,No Error,நாம் பாடத்தை படிக்கிறாள்.
அவர்கள் புத்தகத்தை விளையாடுகிறோம்.,No Error,அவர்கள் புத்தகத்தை விளையாடுகிறோம்.
அவள் பந்து விளையாடுகிறோம்.,No Error,அவள் பந்து விளையாடுகிறோம்.
அவள் புத்தகத்தை விளையாடுகிறோம்.,No Error,அவள் புத்தகத்தை விளையாடுகிறோம்.
நான் பாடத்தை படிக்கிறாள்.,No Error,நான் பாடத்தை படிக்கிறாள்.
அவன் பழத்தை சாப்பிடுகிறான்.,No Error,அவன் பழத்தை சாப்பிடுகிறான்.
அவள் வீட்டில் படிக்கிறாள்.,No Error,அவள் வீட்டில் படிக்கிறாள்.
நாம் பாடத்தை சாப்பிடுகிறான்.,No Error,நாம் பாடத்தை சாப்பிடுகிறான்.
அவர்கள் பந்து விளையாடுகிறோம்.,No Error,அவர்கள் பந்து விளையாடுகிறோம்.
நாம் வீட்டில் படிக்கிறான்.,No Error,நாம் வீட்டில் படிக்கிறான்.
நான் பாடத்தை செல்வேன்.,No Error,நான் பாடத்தை செல்வேன்.
அவள் புத்தகத்தை செல்வேன்.,No Error,அவள் புத்தகத்தை செல்வேன்.
அவள் பாடத்தை சாப்பிடுகிறான்.,No Error,அவள் பாடத்தை சாப்பிடுகிறான்.
பார்வதி பாடத்தை படிக்கிறான்.,No Error,பார்வதி பாடத்தை படிக்கிறான்.
அவன் புத்தகத்தை செல்வேன்.,No Error,அவன் புத்தகத்தை செல்வேன்.
அவர்கள் பாடத்தை படிக்கிறாள்.,No Error,அவர்கள் பாடத்தை படிக்கிறாள்.
அவள் பாடத்தை விளையாடுகிறோம்.,No Error,அவள் பாடத்தை விளையாடுகிறோம்.
நான் பழத்தை விளையாடுகிறோம்.,No Error,நான் பழத்தை விளையாடுகிறோம்.
அவன் பாடத்தை சாப்பிடுகிறான்.,No Error,அவன் பாடத்தை சாப்பிடுகிறான்.
பார்வதி பந்து படிக்கிறான்.,No Error,பார்வதி பந்து படிக்கிறான்.
அவர்கள் வீட்டில் படிக்கிறாள்.,No Error,அவர்கள் வீட்டில் படிக்கிறாள்.
அவள் பாடத்தை படிக்கிறாள்.,No Error,அவள் பாடத்தை படிக்கிறாள்.
நாம் புத்தகத்தை படிக்கிறான்.,No Error,நாம் புத்தகத்தை படிக்கிறான்.
அவர்கள் பந்து விளையாடுகிறோம்.,No Error,அவர்கள் பந்து விளையாடுகிறோம்.
நான் வீட்டில் விளையாடுகிறோம்.,No Error,நான் வீட்டில் விளையாடுகிறோம்.
பார்வதி வீட்டில் செல்வேன்.,No Error,பார்வதி வீட்டில் செல்வேன்.
நாம் பழத்தை விளையாடுகிறோம்.,No Error,நாம் பழத்தை விளையாடுகிறோம்.
நான் பள்ளிக்கு படிக்கிறான்.,No Error,நான் பள்ளிக்கு படிக்கிறான்.
அவள் பள்ளிக்கு படிக்கிறான்.,No Error,அவள் பள்ளிக்கு படிக்கிறான்.
அவன் பந்து செல்வேன்.,No Error,அவன் பந்து செல்வேன்.
அவர்கள் பழத்தை விளையாடுகிறோம்.,No Error,அவர்கள் பழத்தை விளையாடுகிறோம்.
அவர்கள் பந்து சாப்பிடுகிறான்.,No Error,அவர்கள் பந்து சாப்பிடுகிறான்.
நான் வீட்டில் படிக்கிறாள்.,No Error,நான் வீட்டில் படிக்கிறாள்.
பார்வதி பாடத்தை செல்வேன்.,No Error,பார்வதி பாடத்தை செல்வேன்.
அவள் பந்து சாப்பிடுகிறான்.,No Error,அவள் பந்து சாப்பிடுகிறான்.
அவர்கள் புத்தகத்தை படிக்கிறாள்.,No Error,அவர்கள் புத்தகத்தை படிக்கிறாள்.
நான் வீட்டில் படிக்கிறான்.,No Error,நான் வீட்டில் படிக்கிறான்.
அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.,No Error,அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.
நான் பந்து படிக்கிறான்.,No Error,நான் பந்து படிக்கிறான்.
பார்வதி பள்ளிக்கு படிக்கிறான்.,No Error,பார்வதி பள்ளிக்கு படிக்கிறான்.
அவள் புத்தகத்தை படிக்கிறான்.,No Error,அவள் புத்தகத்தை படிக்கிறான்.
நான் பள்ளிக்கு சாப்பிடுகிறான்.,No Error,நான் பள்ளிக்கு சாப்பிடுகிறான்.
நான் பாடத்தை படிக்கிறான்.,No Error,நான் பாடத்தை படிக்கிறான்.
நான் பாடத்தை சாப்பிடுகிறான்.,No Error,நான் பாடத்தை சாப்பிடுகிறான்.
நாம் பந்து படிக்கிறாள்.,No Error,நாம் பந்து படிக்கிறாள்.
நாம் பள்ளிக்கு சாப்பிடுகிறான்.,No Error,நாம் பள்ளிக்கு சாப்பிடுகிறான்.
அவர்கள் பழத்தை செல்வேன்.,No Error,அவர்கள் பழத்தை செல்வேன்.
பார்வதி பழத்தை படிக்கிறான்.,No Error,பார்வதி பழத்தை படிக்கிறான்.
அவர்கள் பாடத்தை படிக்கிறான்.,No Error,அவர்கள் பாடத்தை படிக்கிறான்.
அவர்கள் புத்தகத்தை செல்வேன்.,No Error,அவர்கள் புத்தகத்தை செல்வேன்.
நாம் பாடத்தை சாப்பிடுகிறான்.,No Error,நாம் பாடத்தை சாப்பிடுகிறான்.
நான் பள்ளிக்கு படிக்கிறான்.,No Error,நான் பள்ளிக்கு படிக்கிறான்.
நான் பாடத்தை சாப்பிடுகிறான்.,No Error,நான் பாடத்தை சாப்பிடுகிறான்.
நான் பள்ளிக்கு படிக்கிறாள்.,No Error,நான் பள்ளிக்கு படிக்கிறாள்.
அவள் பந்து சாப்பிடுகிறான்.,No Error,அவள் பந்து சாப்பிடுகிறான்.
நான் பழத்தை செல்வேன்.,No Error,நான் பழத்தை செல்வேன்.
நாம் புத்தகத்தை படிக்கிறான்.,No Error,நாம் புத்தகத்தை படிக்கிறான்.
அவள் புத்தகத்தை படிக்கிறாள்.,No Error,அவள் புத்தகத்தை படிக்கிறாள்.
பார்வதி வீட்டில் படிக்கிறாள்.,No Error,பார்வதி வீட்டில் படிக்கிறாள்.
நான் பந்து விளையாடுகிறோம்.,No Error,நான் பந்து விளையாடுகிறோம்.
நான் வீட்டில் படிக்கிறாள்.,No Error,நான் வீட்டில் படிக்கிறாள்.
நாம் பாடத்தை படிக்கிறாள்.,No Error,நாம் பாடத்தை படிக்கிறாள்.
நாம் பள்ளிக்கு சாப்பிடுகிறான்.,No Error,நாம் பள்ளிக்கு சாப்பிடுகிறான்.
அவள் புத்தகத்தை படிக்கிறாள்.,No Error,அவள் புத்தகத்தை படிக்கிறாள்.
அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.,No Error,அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.
நான் புத்தகத்தை விளையாடுகிறோம்.,No Error,நான் புத்தகத்தை விளையாடுகிறோம்.
அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.,No Error,அவர்கள் புத்தகத்தை சாப்பிடுகிறான்.
அவர்கள் பந்து படிக்கிறான்.,No Error,அவர்கள் பந்து படிக்கிறான்.
அவன் புத்தகத்தை படிக்கிறான்.,No Error,அவன் புத்தகத்தை படிக்கிறான்.
நான் பாடத்தை விளையாடுகிறோம்.,No Error,நான் பாடத்தை விளையாடுகிறோம்.
அவள் பள்ளிக்கு சாப்பிடுகிறான்.,No Error,அவள் பள்ளிக்கு சாப்பிடுகிறான்.
நாம் பாடத்தை விளையாடுகிறோம்.,No Error,நாம் பாடத்தை விளையாடுகிறோம்.
அவள் பழத்தை படிக்கிறான்.,No Error,அவள் பழத்தை படிக்கிறான்.
அவள் வீட்டில் படிக்கிறான்.,No Error,அவள் வீட்டில் படிக்கிறான்.
நான் பாடத்தை செல்வேன்.,No Error,நான் பாடத்தை செல்வேன்.
நான் பள்ளிக்கு படிக்கிறாள்.,No Error,நான் பள்ளிக்கு படிக்கிறாள்.
அவள் வீட்டில் விளையாடுகிறோம்.,No Error,அவள் வீட்டில் விளையாடுகிறோம்.
நாம் பாடத்தை படிக்கிறான்.,No Error,நாம் பாடத்தை படிக்கிறான்.
அவன் பள்ளிக்கு விளையாடுகிறோம்.,No Error,அவன் பள்ளிக்கு விளையாடுகிறோம்.
அவர்கள் வீட்டில் செல்வேன்.,No Error,அவர்கள் வீட்டில் செல்வேன்.
பார்வதி பள்ளிக்கு செல்வேன்.,No Error,பார்வதி பள்ளிக்கு செல்வேன்.
அவர்கள் பழத்தை படிக்கிறான்.,No Error,அவர்கள் பழத்தை படிக்கிறான்.
அவன் பந்து படிக்கிறான்.,No Error,அவன் பந்து படிக்கிறான்.
அவன் புத்தகத்தை படிக்கிறாள்.,No Error,அவன் புத்தகத்தை படிக்கிறாள்.
அவள் பாடத்தை சாப்பிடுகிறான்.,No Error,அவள் பாடத்தை சாப்பிடுகிறான்.
அவள் பழத்தை படிக்கிறான்.,No Error,அவள் பழத்தை படிக்கிறான்.
அவள் பாடத்தை விளையாடுகிறோம்.,No Error,அவள் பாடத்தை விளையாடுகிறோம்.
அவர்கள் பாடத்தை படிக்கிறான்.,No Error,அவர்கள் பாடத்தை படிக்கிறான்.
அவள் பழத்தை படிக்கிறான்.,No Error,அவள் பழத்தை படிக்கிறான்.
அவர்கள் பந்து சாப்பிடுகிறான்.,No Error,அவர்கள் பந்து சாப்பிடுகிறான்.
அவள் பழத்தை படிக்கிறாள்.,No Error,அவள் பழத்தை படிக்கிறாள்.
நான் பாடத்தை விளையாடுகிறோம்.,No Error,நான் பாடத்தை விளையாடுகிறோம்.
அவன் பள்ளிக்கு படிக்கிறான்.,No Error,அவன் பள்ளிக்கு படிக்கிறான்.
நாம் பந்து படிக்கிறான்.,No Error,நாம் பந்து படிக்கிறான்.
நான் வீட்டில் படிக்கிறாள்.,No Error,நான் வீட்டில் படிக்கிறாள்.
நாம் வீட்டில் படிக்கிறாள்.,No Error,நாம் வீட்டில் படிக்கிறாள்.
நாம் புத்தகத்தை சாப்பிடுகிறான்.,No Error,நாம் புத்தகத்தை சாப்பிடுகிறான்.
அவன் பள்ளிக்கு விளையாடுகிறோம்.,No Error,அவன் பள்ளிக்கு விளையாடுகிறோம்.
அவர்கள் புத்தகத்தை செல்வேன்.,No Error,அவர்கள் புத்தகத்தை செல்வேன்.
அவர்கள் புத்தகத்தை செல்வேன்.,No Error,அவர்கள் புத்தகத்தை செல்வேன்.
பார்வதி பந்து படிக்கிறாள்.,No Error,பார்வதி பந்து படிக்கிறாள்.
அவள் பாடத்தை படிக்கிறான்.,No Error,அவள் பாடத்தை படிக்கிறான்.
நான் பந்து படிக்கிறாள்.,No Error,நான் பந்து படிக்கிறாள்.
அவர்கள் வீட்டில் செல்வேன்.,No Error,அவர்கள் வீட்டில் செல்வேன்.
நான் பழத்தை சாப்பிடுகிறான்.,No Error,நான் பழத்தை சாப்பிடுகிறான்.
அவர்கள் பழத்தை படிக்கிறான்.,No Error,அவர்கள் பழத்தை படிக்கிறான்.
அவர்கள் வீட்டில் விளையாடுகிறோம்.,No Error,அவர்கள் வீட்டில் விளையாடுகிறோம்.
பார்வதி பந்து விளையாடுகிறோம்.,No Error,பார்வதி பந்து விளையாடுகிறோம்.
நான் பள்ளிக்கு விளையாடுகிறோம்.,No Error,நான் பள்ளிக்கு விளையாடுகிறோம்.
அவன் பாடத்தை சாப்பிடுகிறான்.,No Error,அவன் பாடத்தை சாப்பிடுகிறான்.
அவள் பாடத்தை செல்வேன்.,No Error,அவள் பாடத்தை செல்வேன்.
நான் புத்தகத்தை சாப்பிடுகிறான்.,No Error,நான் புத்தகத்தை சாப்பிடுகிறான்.
அவன் பள்ளிக்கு செல்வேன்.,No Error,அவன் பள்ளிக்கு செல்வேன்.
அவள் புத்தகத்தை செல்வேன்.,No Error,அவள் புத்தகத்தை செல்வேன்.
அவன் பழத்தை விளையாடுகிறோம்.,No Error,அவன் பழத்தை விளையாடுகிறோம்.
பார்வதி வீட்டில் படிக்கிறான்.,No Error,பார்வதி வீட்டில் படிக்கிறான்.
நாம் பள்ளிக்கு படிக்கிறான்.,No Error,நாம் பள்ளிக்கு படிக்கிறான்.
நான் பாடத்தை விளையாடுகிறோம்.,No Error,நான் பாடத்தை விளையாடுகிறோம்.
