Sentence,Error Type,Corrected Sentence
நாம் தினமும் பால் குடிக்கிறோம்.,Habitual Error,நாம் தினமும் பால் குடிப்போம்.
அவர்கள் தினமும் பாடசாலை சென்றார்கள்.,Habitual Error,அவர்கள் தினமும் பாடசாலை செல்வார்கள்.
நான் தினமும் என் நண்பர்களுடன் பேசினேன்.,Habitual Error,நான் தினமும் என் நண்பர்களுடன் பேசுவேன்.
அவன் எப்போதும் நேரத்திற்கு எழுந்தான்.,Habitual Error,அவன் எப்போதும் நேரத்திற்கு எழுவான்.
நீ தினமும் பாடம் எழுதினாய்.,Habitual Error,நீ தினமும் பாடம் எழுதுவாய்.
அவள் தினமும் கார் ஓட்டினாள்.,Habitual Error,அவள் தினமும் கார் ஓட்டுவாள்.
நாங்கள் ஒவ்வொருநாளும் புத்தகங்களை பகிர்ந்தோம்.,Habitual Error,நாங்கள் ஒவ்வொருநாளும் புத்தகங்களை பகிர்வோம்.
அவன் தினமும் பழங்கள் சாப்பிட்டான்.,Habitual Error,அவன் தினமும் பழங்கள் சாப்பிடுவான்.
நாம் தினமும் பாடல்களை கேட்கிறோம்.,Habitual Error,நாம் தினமும் பாடல்களை கேட்போம்.
அவர்கள் தினமும் நண்பர்களுடன் சந்திக்கிறார்கள்.,Habitual Error,அவர்கள் தினமும் நண்பர்களுடன் சந்திப்பார்கள்.
நீ தினமும் கடைக்கு சென்றாய்.,Habitual Error,நீ தினமும் கடைக்கு செல்வாய்.
அவள் தினமும் வீட்டை சுத்தம் செய்தாள்.,Habitual Error,அவள் தினமும் வீட்டை சுத்தம் செய்வாள்.
நாங்கள் தினமும் வானிலைப் பார்க்கிறோம்.,Habitual Error,நாங்கள் தினமும் வானிலைப் பார்ப்போம்.
அவன் தினமும் கண்ணாடியை சுத்தம் செய்தான்.,Habitual Error,அவன் தினமும் கண்ணாடியை சுத்தம் செய்வான்.
அவர்கள் தினமும் பாடல்களை கேட்கிறார்கள்.,Habitual Error,அவர்கள் தினமும் பாடல்களை கேட்பார்கள்.
அவள் தினமும் புத்தகங்கள் எழுதினாள்.,Habitual Error,அவள் தினமும் புத்தகங்கள் எழுதுவாள்.
நீ தினமும் பழங்களுடன் ஜூஸ் குடித்தாய்.,Habitual Error,நீ தினமும் பழங்களுடன் ஜூஸ் குடிப்பாய்.
நாங்கள் தினமும் சுற்றுலா சென்றோம்.,Habitual Error,நாங்கள் தினமும் சுற்றுலா செல்வோம்.
அவன் தினமும் விளையாட்டு பார்க்கிறான்.,Habitual Error,அவன் தினமும் விளையாட்டு பார்ப்பான்.
அவர்கள் தினமும் செடிகளுக்கு தண்ணீர் ஊற்றினார்கள்.,Habitual Error,அவர்கள் தினமும் செடிகளுக்கு தண்ணீர் ஊற்றுவார்கள்.
நான் தினமும் பள்ளிக்கூடத்தில் இரசாயனப் பரிசோதனைகள் செய்தேன்.,Habitual Error,நான் தினமும் பள்ளிக்கூடத்தில் இரசாயனப் பரிசோதனைகள் செய்வேன்.
அவள் தினமும் பள்ளியில் பாடம் நடத்தினாள்.,Habitual Error,அவள் தினமும் பள்ளியில் பாடம் நடத்துவாள்.
அவன் தினமும் உடற்பயிற்சி செய்தான்.,Habitual Error,அவன் தினமும் உடற்பயிற்சி செய்வான்.
நாங்கள் தினமும் உழவுத் தொழில் பார்த்தோம்.,Habitual Error,நாங்கள் தினமும் உழவுத் தொழில் பார்ப்போம்.
அவர்கள் தினமும் பட்டறையில் வேலை செய்தார்கள்.,Habitual Error,அவர்கள் தினமும் பட்டறையில் வேலை செய்வார்கள்.
நான் தினமும் நெடுங்கதை படித்தேன்.,Habitual Error,நான் தினமும் நெடுங்கதை படிப்பேன்.
அவள் தினமும் பறவை பார்த்தாள்.,Habitual Error,அவள் தினமும் பறவை பார்ப்பாள்.
நீ தினமும் காரில் பயணம் செய்தாய்.,Habitual Error,நீ தினமும் காரில் பயணம் செய்வாய்.
அவன் தினமும் மாலை உணவு சமைத்தான்.,Habitual Error,அவன் தினமும் மாலை உணவு சமைப்பான்.
அவர்கள் தினமும் விளையாட்டு போட்டியில் கலந்துகொண்டார்கள்.,Habitual Error,அவர்கள் தினமும் விளையாட்டு போட்டியில் கலந்துகொள்வார்கள்.
நாங்கள் தினமும் பனியில் சறுக்கினோம்.,Habitual Error,நாங்கள் தினமும் பனியில் சறுக்குவோம்.
நீ தினமும் விளையாட்டு மைதானத்தை சுத்தம் செய்தாய்.,Habitual Error,நீ தினமும் விளையாட்டு மைதானத்தை சுத்தம் செய்வாய்.
அவள் தினமும் கையெழுத்து பயிற்சி செய்தாள்.,Habitual Error,அவள் தினமும் கையெழுத்து பயிற்சி செய்வாள்.
நான் தினமும் இணையத்தில் ஆராய்ச்சி செய்தேன்.,Habitual Error,நான் தினமும் இணையத்தில் ஆராய்ச்சி செய்வேன்.
நாங்கள் தினமும் விளையாட்டில் கலந்துகொண்டோம்.,Habitual Error,நாங்கள் தினமும் விளையாட்டில் கலந்துகொள்வோம்.
அவன் தினமும் பாடம் படித்தான்.,Habitual Error,அவன் தினமும் பாடம் படிப்பான்.
நீ தினமும் பாடம் படித்தாய்.,Habitual Error,நீ தினமும் பாடம் படிப்பாய்.
அவர்கள் தினமும் பாடம் படிக்கிறார்கள்.,Habitual Error,அவர்கள் தினமும் பாடம் படிப்பார்கள்.
நான் தினமும் பாடம் படிக்கிறேன்.,Habitual Error,நான் தினமும் பாடம் படிப்பேன்.
அவள் தினமும் பாடம் படிக்கிறாள்.,Habitual Error,அவள் தினமும் பாடம் படிப்பாள்.
நாங்கள் தினமும் பாடம் படிக்கிறோம்.,Habitual Error,நாங்கள் தினமும் பாடம் படிப்போம்.
அவன் தினமும் பாடம் படிக்கிறான்.,Habitual Error,அவன் தினமும் பாடம் படிப்பான்.
மருத்துவர் தினமும் நோயாளர்களை பரிசோதித்தார்.,Habitual Error,மருத்துவர் தினமும் நோயாளர்களை பரிசோதிப்பார்.
வானவில் தினமும் மாலையில் தென்பட்டது.,Habitual Error,வானவில் தினமும் மாலையில் தென்படும்.
நகரத்தில் பேருந்து தினமும் நேரத்தில் வந்தது.,Habitual Error,நகரத்தில் பேருந்து தினமும் நேரத்தில் வரும்.
பூச்சிகள் தினமும் மலர்களில் தேன் சேகரித்தன.,Habitual Error,பூச்சிகள் தினமும் மலர்களில் தேன் சேகரிக்கும்.
மாடுகள் தினமும் புல் மேய்ந்தன.,Habitual Error,மாடுகள் தினமும் புல் மேயும்.
மாணவர்கள் ஒவ்வொரு நாளும் பாடசாலைக்கு சென்றார்கள்.,Habitual Error,மாணவர்கள் ஒவ்வொரு நாளும் பாடசாலைக்கு செல்வார்கள்.
பெரியவர்கள் தினமும் குழந்தைகளுக்கு கதை கூறினார்கள்.,Habitual Error,பெரியவர்கள் தினமும் குழந்தைகளுக்கு கதை கூறுவார்கள்.
குருவிகள் தினமும் பாடின.,Habitual Error,குருவிகள் தினமும் பாடும்.
கடற்கரை மணல் தினமும் வெயிலில் சூடானது.,Habitual Error,கடற்கரை மணல் தினமும் வெயிலில் சுடும்.
ஆற்றில் தண்ணீர் தினமும் பாய்ந்தது.,Habitual Error,ஆற்றில் தண்ணீர் தினமும் பாயும்.
கணிணி தினமும் மென்பொருள் புதுப்பித்தது.,Habitual Error,கணிணி தினமும் மென்பொருள் புதுப்பிக்கும்.
வகுப்பறை மணியடிகை ஒவ்வொரு மணித்தியாலமும் ஒலித்தது.,Habitual Error,வகுப்பறை மணியடிகை ஒவ்வொரு மணித்தியாலமும் ஒலிக்கும்.
மரங்கள் தினமும் பசுமை விரித்தன.,Habitual Error,மரங்கள் தினமும் பசுமை விரிக்கும்.
நிகழ்ச்சியின் நேரம் ஒவ்வொரு நாளும் மாற்றப்பட்டது.,Habitual Error,நிகழ்ச்சியின் நேரம் ஒவ்வொரு நாளும் மாற்றப்படும்.
வானிலை மையம் தினமும் தகவல்கள் வெளியிட்டது.,Habitual Error,வானிலை மையம் தினமும் தகவல்கள் வெளியிடும்.
மனிதர்கள் தினமும் புதிய கண்டுபிடிப்புகளை செய்தனர்.,Habitual Error,மனிதர்கள் தினமும் புதிய கண்டுபிடிப்புகளை செய்வார்கள்.
பள்ளி ஓசைகள் தினமும் குழந்தைகளை அழைத்தன.,Habitual Error,பள்ளி ஓசைகள் தினமும் குழந்தைகளை அழைக்கும்.
மழைமுகில் ஒவ்வொரு முறையும் வெளிச்சம் தந்தது.,Habitual Error,மழைமுகில் ஒவ்வொரு முறையும் வெளிச்சம் தரும்.
நாடகம் ஒவ்வொரு முறையும் பார்வையாளர்களை கவர்ந்தது.,Habitual Error,நாடகம் ஒவ்வொரு முறையும் பார்வையாளர்களை கவரும்.
படகு தினமும் கடலில் பயணித்தது.,Habitual Error,படகு தினமும் கடலில் பயணிக்கும்.
நத்தார் தினமும் குரல் எழுப்பினான்.,Habitual Error,நத்தார் தினமும் குரல் எழுப்புவான்.
பூங்கா ஒவ்வொரு நாளும் சுற்றுப்பயணிகளை பெற்றது.,Habitual Error,பூங்கா ஒவ்வொரு நாளும் சுற்றுப்பயணிகளை பெறும்.
நகராட்சி ஒவ்வொரு மாதமும் புதிய திட்டங்களை அறிவித்தது.,Habitual Error,நகராட்சி ஒவ்வொரு மாதமும் புதிய திட்டங்களை அறிவிக்கும்.
படித்தறை ஒவ்வொரு நாளும் புதிய புத்தகங்களை பெற்றது.,Habitual Error,படித்தறை ஒவ்வொரு நாளும் புதிய புத்தகங்களை பெறும்.
படகு ஒவ்வொரு நாளும் தண்ணீரில் புறப்பட்டது.,Habitual Error,படகு ஒவ்வொரு நாளும் தண்ணீரில் புறப்படும்.
கிழக்கு காற்று ஒவ்வொரு காலையும் அடிக்கடி வீசியது.,Habitual Error,கிழக்கு காற்று ஒவ்வொரு காலையும் அடிக்கடி வீசும்.
சிறிய மீன்கள் தினமும் பெரிய மீன்களை உண்கின்றன.,Habitual Error,சிறிய மீன்கள் தினமும் பெரிய மீன்களை உண்ணும்.
சிறு கிராமங்கள் ஒவ்வொரு மாதமும் புதிய வழிமுறைகளை துவங்கினான்.,Habitual Error,சிறு கிராமங்கள் ஒவ்வொரு மாதமும் புதிய வழிமுறைகளை துவங்கும்.
நான் பொதுவாக ஏழு மணிக்கு எழுந்தேன்.,Habitual Error,நான் பொதுவாக ஏழு மணிக்கு எழுவேன்.
அவர் எப்பொழும் இரவில் தொலைக்காட்சி பார்க்கின்றார்.,Habitual Error,அவர் எப்பொழும் இரவில் தொலைக்காட்சி பார்ப்பார்.
அந்த பையன்கள் தினமும் டென்னிஸ் விளையாடினார்கள்.,Habitual Error,அந்த பையன்கள் தினமும் டென்னிஸ் விளையாடுவார்கள்.
நாம் எப்பொழும் பாடசாலைக்கு நடந்து சென்றோம்.,Habitual Error,நாம் எப்பொழும் பாடசாலைக்கு நடந்து செல்வோம்.
அவர்கள் பொதுவாக வெள்ளி கிழமைகளில் பிரியானி செய்தார்கள்.,Habitual Error,அவர்கள் பொதுவாக வெள்ளி கிழமைகளில் பிரியானி செய்வார்கள்.
அவர்கள் ஒவ்வொரு நாளும் பாடசாலைக்கு சென்றார்கள்.,Habitual Error,அவர்கள் ஒவ்வொரு நாளும் பாடசாலைக்கு செல்வார்கள்.
அவர் ஒவ்வொரு நாளும் காலை 6 மணிக்கு எழுப்பினார்.,Habitual Error,அவர் ஒவ்வொரு நாளும் காலை 6 மணிக்கு எழுப்புவார்.
நாம் செவ்வாய்க்கிழமை இரவு பானம் பருகுகிறோம்.,Habitual Error,நாம் செவ்வாய்க்கிழமை இரவு பானம் பருகுவோம்.
அவள் அதிக நேரம் நூல்கள் படிக்கிறாள்.,Habitual Error,அவள் அதிக நேரம் நூல்கள் படிப்பாள்.
அவர்கள் வாரந்தோறும் சினிமா பார்க்கின்றனர்.,Habitual Error,அவர்கள் வாரந்தோறும் சினிமா பார்ப்பார்கள்.
நான் புதன்கிழமை சாப்பாடு தயாரிக்கிறேன்.,Habitual Error,நான் புதன்கிழமை சாப்பாடு தயாரிப்பேன்.
நீங்கள் பொதுவாக காலை பயிற்சி செய்தீர்கள்.,Habitual Error,நீங்கள் பொதுவாக காலை பயிற்சி செய்வீர்கள்.
என்றும் என் பக்கம் வந்து சிரிக்கின்றார்.,Habitual Error,என்றும் என் பக்கம் வந்து சிரிப்பார்.
அவர் ஒவ்வொரு நாளும் காலை பயிற்சி செய்து வருகிறார்.,Habitual Error,அவர் ஒவ்வொரு நாளும் காலை பயிற்சி செய்து வந்தார்.
